id, name, latitude, longitude
1, 媽祖大道千里眼, 23.512699, 120.360877
2, 路邊地基主, 23.443713, 120.49354
3, 三界埔導覽圖, 23.434542, 120.475343
4, 永泰宮東營, 23.432473, 120.32086
5, 春珠西營, 23.446651, 120.329772
6, 鹿豐橋-古景彩繪, 23.434419, 120.32418
7, 魚寮橋-古早風景彩繪, 23.483665, 120.348379
8, 太新橋-春意盎然彩繪, 23.470575, 120.332671
9, 太保無名橋花海彩繪, 23.493766, 120.357366
10, 熊貓響食壁畫, 23.47864, 120.386588
11, 太陽花彩繪, 23.445257, 120.337141
12, 北幹橋, 23.475336, 120.38024
13, 麻寮三合路牆面彩繪, 23.496319, 120.372267
14, 南天宮西營將軍, 23.4554167, 120.3593067
15, 受天宮旁小廟, 23.4554958, 120.3611554
16, 新埤南營將軍, 23.4841508, 120.3315503
17, 保安宮北營(?), 23.4696136, 120.3272011
18, 大崙 東營大將軍, 23.4419129, 120.3632562
19, 安福宮西營廟, 23.4761941, 120.3717076
20, 太保市地標, 23.4549167, 120.3580084
21, 田尾里地標-特產玉米, 23.4934722, 120.3297584
22, 管事厝特產(?), 23.4755845, 120.3782381
23, 太保市公所壁畫, 23.4586167, 120.3325371
24, 橋壁畫(?), 23.4961022, 120.3712781
25, 媽祖大道順風耳, 23.5126944, 120.3600084
26, 栗子崙靈慈宮牌樓, 23.431933, 120.190866
27, 五府千歲 中壇元帥, 23.438512, 120.194911
28, 中洲福安宮牌樓, 23.442047, 120.197714
29, 東港社區活動中心, 23.376319, 120.189117
30, 布袋鎮樹林里吾愛吾村, 23.416275, 120.234761
31, 布袋龍江里-南營小廟, 23.383, 120.17191
32, 碑仔頭社區, 23.343811, 120.226556
33, 福安宮北營, 23.4374, 120.203077
34, 福安宮東營, 23.435976, 120.203354
35, 福安宮南營, 23.435657, 120.200196
36, 福安宮西營, 23.437397, 120.200999
37, 喵設x喵樂園, 23.416387, 120.239737
38, 歐北貓貓牆, 23.416201, 120.239588
39, 泡泡小姐原創彩繪, 23.416181, 120.241574
40, 港墘碑牆, 23.460081, 120.211303
41, 碑子頭南營, 23.343706, 120.225766
42, 碑子頭東營, 23.345758, 120.225871
43, 樸靈公廟, 23.463925, 120.239249
44, 春秋武廟, 23.464185, 120.235313
45, 傳芳社區, 23.340683, 120.24266
46, 竹仔腳南營, 23.422148, 120.246327
47, 布袋新塭西營, 23.32783, 120.155195
48, 魍港太聖宮牌樓, 23.335078, 120.140969
49, 太聖宮南營, 23.335734, 120.139425
50, 太聖宮北營, 23.340489, 120.137751
51, 永安-西營, 23.371706, 120.182684
52, 鹽晶晶造型路標, 23.361785, 120.178791
53, 毛毛蟲指標, 23.46279, 120.479991
54, 環潭道路2K+800M里程碑, 23.478191, 120.485926
55, 環潭道路2K+400M里程碑, 23.478277, 120.489619
56, 環潭道路3K+50M里程碑, 23.477437, 120.484071
57, 環潭道路1K+400M里程碑, 23.474594, 120.485765
58, 環潭道路1K+600M里程碑, 23.475094, 120.487279
59, 環潭道路2K+0M里程碑, 23.475895, 120.490537
60, 環潭道路3K+250M里程碑, 23.47716, 120.482403
61, 嘉南大圳自行車道指示牌, 23.484382, 120.388427
62, 太保市鐵馬道-水田段標誌, 23.497162, 120.325864
63, 光天宮, 23.515906, 120.35951
64, 新港鎮安宮牌樓, 23.515169, 120.359849
65, Cute House, 23.521493, 120.346066
66, 路邊小廟, 23.524128, 120.35901
67, 橋面壁畫, 23.525087, 120.373437
68, 南營, 23.537983, 120.347606
69, 後庄保安宮北營, 23.471642, 120.326205
70, 後湖堤防2K+300里程標示碑, 23.513414, 120.446635
71, 後湖堤防2K+200里程標示碑, 23.513617, 120.447604
72, 後湖堤防1K+900M里程碑, 23.514211, 120.450462
73, 後湖堤防1K+600里程碑, 23.514826, 120.453363
74, 荖藤里龍貓家族彩繪矮牆, 23.510419, 120.441537
75, 荖藤里野鳥圖鑑彩繪矮牆, 23.509887, 120.441256
76, 金興社區石碑, 23.517692, 120.433264
77, 歡迎蒞臨義仁社區, 23.442366, 120.515231
78, 順天宮北營, 23.409515, 120.34763
79, 親水橋, 23.402026, 120.347809
80, 慈雲宮牌樓, 23.420883, 120.350573
